name,description,price,category_id
Dollie Chavez,Marie Dawson,43,1
Gertrude Cobb,Peter Fuller,42,3
Bradley Burke,Sadie Wells,12,2
Beatrice Pierce,Callie Harper,43,2
Maud Cole,Bettie Owen,12,2
Hulda Carroll,Curtis Hunter,42,1
Nell Barker,William Tran,43,2
Maggie Hanson,Steven Mullins,12,2
Nathaniel Berry,Cora Jennings,42,3
Christian Bowers,Luke Nichols,43,3
Harry Lucas,Rena Mason,12,1
Bryan Santiago,Nora Baker,12,1
Marvin Burke,Edgar Morales,43,1
Mark Rogers,Dennis Pittman,42,1
Alice Hall,Ruth Torres,42,1
Chad Benson,Zachary Conner,42,3
Helen Fernandez,Fanny Sullivan,42,1
Elizabeth Ramos,Carolyn Cole,12,2
Robert McBride,Mary Hunt,42,3
Hattie Murray,Jackson Houston,43,1
Philip French,Phillip Rose,43,3
Betty Rivera,Julian Barnett,43,2
Elizabeth Jefferson,Lloyd Osborne,42,3
Jon Caldwell,Angel Nguyen,43,3
Roxie Dawson,Francisco Cohen,43,2
Sarah Jones,Nellie Knight,43,2
Caroline Pearson,Minerva Klein,43,3
George Zimmerman,Lenora Cobb,42,3
Shane Huff,Leila Dawson,12,2
Lora Bush,Effie Anderson,42,3
Belle McDonald,Jeanette Henderson,43,3
Todd Roberson,Lucas Bass,42,3
Sophia Lane,Willie Baker,12,1
Matthew Valdez,Rebecca Edwards,43,3
Danny Harris,Olive Higgins,12,1
Herman Cunningham,Claudia Yates,43,2
Gavin Roy,Beulah Greer,43,2
Lena Lee,Louise Perez,12,2
Hester Wagner,Matilda Howell,12,3
Fannie Hubbard,Russell Harris,43,2
Ann Cannon,Blake Alvarado,43,1
Georgia Manning,Gary Adams,42,3
Harriet McKinney,Connor Knight,43,3
Elsie Farmer,Rebecca Harmon,43,1
Winifred Simmons,Benjamin Patrick,42,1
Zachary Vasquez,Gary Steele,43,1
Victoria Dean,Derrick Pratt,12,1
Agnes Parks,Birdie Weber,42,1
Ina Daniels,Harvey Alvarez,42,1
Lulu Hogan,Jeanette Goodwin,42,2
Ruby Carter,Nellie Phelps,12,1
Gene Ryan,Gregory Lane,42,3
Lura Soto,Rodney Nunez,42,2
Jay Hale,Wesley Montgomery,12,1
Margaret Soto,Millie Chavez,43,1
Ryan Roy,Marc Flowers,43,1
Lucille Sandoval,May Williamson,43,3
Myrtle Grant,Lola Sharp,42,2
Maggie Evans,Rebecca Briggs,42,3
Antonio Henry,Ethan Scott,42,3
James Griffith,Lora Doyle,42,2
Winifred Hodges,Alvin Howell,43,1
Elijah Gill,Norman Wood,12,1
Francis Bowers,Robert Burns,42,3
Daisy Bowers,Jeff Abbott,43,2
Millie Sharp,Hester Burton,12,2
Charles Kim,Scott Salazar,43,1
Kyle Farmer,Garrett Carter,12,3
Dora Lane,Lora Chapman,43,3
Rosalie Floyd,Blake James,43,3
Emilie Sims,Jimmy Morales,43,3
Genevieve Garza,Susan Townsend,43,3
Isaiah Kelley,Charlie Griffin,42,2
Jean Porter,Kenneth Frank,43,1
Rosie Williams,Darrell Spencer,43,2
Isaac Maldonado,Julia Gardner,43,1
Daisy Powell,Dennis Rodgers,42,1
Philip Romero,Dennis Pratt,12,1
Oscar Walton,Etta Fields,12,3
Frank Baldwin,Miguel Burton,42,1
Claudia Morgan,Lena Frank,42,1
Genevieve Curry,Johnny Conner,43,2
Maggie Vaughn,Austin Cruz,12,3
Elijah Reeves,Bernard Cruz,43,2
Christine Rodriguez,Mable Alexander,12,1
Cornelia Jenkins,Bernice Curtis,43,3
Philip Benson,Gerald Becker,42,2
Gene Allen,Lenora Parks,42,1
Luis Jefferson,Carlos Blair,42,3
Jerome Vaughn,Milton Parks,42,2
Tony Bowers,Tony Ross,42,1
Gussie Allen,Mollie Richardson,12,1
Brent Mitchell,Ina Frank,12,2
Lola Frazier,Chad Watts,43,1
George Alvarez,Theresa Simmons,43,1
Alan Jennings,Noah Barker,12,3
Michael Collins,Barbara Ingram,42,3
Sam Ross,Henrietta Austin,43,2
Gerald Black,Allen Bell,42,2
Claudia Mack,Irene Moss,12,1
