name,description,price,category_id
Wesley Bowers,Clifford Moran,43,2
Elmer Crawford,Lucinda Larson,42,3
Stella Boone,Frank Moreno,42,2
Adeline Summers,Dean Gilbert,12,2
Miguel Erickson,Mary Mathis,42,1
Luis Collins,Teresa Boyd,12,2
Francis Morgan,Larry Fields,42,2
Harriet King,Lena Wood,12,2
Lillian Lynch,Dennis Patton,42,3
Minerva Barrett,Maude Bradley,42,1
Jordan Phillips,Randy Munoz,12,1
Edwin Chavez,Caroline Hart,12,1
Lura Cohen,Nettie Taylor,12,2
Wesley Castro,Clayton Thompson,43,3
Jesse Long,Henrietta Munoz,42,3
Dora Torres,Gordon Holmes,43,3
Jeremiah Sutton,Cole Griffith,43,3
Lina Drake,Laura Huff,12,2
Bertie Byrd,Cameron Rhodes,12,2
Chad Weaver,Phoebe Ryan,43,2
Benjamin Hunter,Sallie Ballard,12,3
Elsie King,Jack Lopez,43,3
Jacob Rice,Barbara Reeves,42,2
Lida Maxwell,Michael Logan,42,3
Fred Wallace,Mitchell Woods,43,1
Mina Henry,Randall Hicks,42,3
Myrtle Lewis,Howard Lewis,42,3
Keith Gutierrez,Effie Rodriquez,42,2
Francisco King,Connor Summers,42,3
Luella Lowe,Cole Austin,42,2
Anthony Rogers,Joseph Smith,12,3
Chase Cole,Clyde Harper,12,1
Mabelle Gomez,Clara Jenkins,12,3
Cecilia Gonzales,Mark Lloyd,42,1
Dustin Sanchez,Howard Martin,42,3
Lottie Sparks,Lida Becker,43,2
Bobby Curtis,Katie Vargas,12,2
Alfred Shelton,Mike Mason,42,1
Jacob Silva,Philip Cross,42,1
Edgar Santiago,Ryan Franklin,12,2
Vera Underwood,Elsie Garrett,43,1
Estelle Grant,Todd Ross,12,2
Ruby Richards,Alexander Sharp,43,2
Ralph Santiago,Willie Chapman,43,3
Lillie Watkins,Verna Neal,12,2
Adeline Scott,Sallie Garcia,42,1
Sophia Burton,Benjamin Lawrence,43,2
Dora Abbott,Tyler Wheeler,43,1
Francis Chambers,Matilda Davis,43,1
Annie Jennings,Eugene Carter,43,1
Theresa Fuller,Della Tucker,42,2
Eddie Higgins,Pauline Santiago,42,1
Hulda Ford,Angel Frank,43,3
Lucy Klein,Adam Pierce,43,2
Glenn Davis,Jeremy Murphy,43,3
Eva Andrews,Juan Craig,12,1
Leila Moss,Cordelia Lynch,42,3
Lettie Lyons,Birdie Massey,12,3
Hannah Gill,Edith Schmidt,12,3
Jerome Henry,Hattie Osborne,42,1
Jerry Manning,Sallie Stone,43,1
Benjamin Holland,Ella Harmon,42,2
Mabel Owens,Polly Nunez,43,3
Fanny Gutierrez,Victor Armstrong,42,3
Billy McBride,Wesley Bush,43,1
Helen Parker,Maurice Schneider,12,3
Etta Gomez,Kenneth Murphy,43,3
Carrie Gomez,Winnie Ray,12,2
Marguerite Moody,Cecilia Ramos,42,2
Louise Burns,Milton Sanchez,43,2
Dominic Alvarez,Paul Wright,43,2
Alma Perkins,Joe Valdez,12,1
Teresa Wise,Myrtle Alvarez,12,3
Nellie Marsh,Herbert Phillips,12,2
Brian Miles,Kathryn Beck,12,1
Polly Barnes,Susie Delgado,12,3
Max Gonzales,Martha Vega,43,3
Cornelia Mendoza,Sadie Crawford,12,1
Lawrence Dixon,Katherine Gross,12,1
Elnora Phelps,Wesley Paul,42,1
Johanna Mills,Sue Beck,12,1
Gussie Bridges,Nicholas Lee,42,3
Shawn Klein,Kenneth Vega,43,3
Keith Larson,Lewis Fuller,42,3
Mike Grant,Glenn Dennis,42,2
Gene Burton,Lillian Clayton,12,2
Cory Underwood,Victoria Henderson,12,1
Dustin Torres,Michael Becker,43,3
Lillie Mathis,Jay Curry,12,2
Joe Perry,Dean Daniels,12,3
Chester Vasquez,Amelia Walsh,42,2
Darrell Morton,Alice Dennis,43,2
Josie Copeland,Ricky Stephens,12,2
Vernon Strickland,Johnny Caldwell,12,3
Sam Lloyd,Robert Walton,42,1
Claudia Wagner,Sally Adkins,12,2
Luke Davis,Raymond Strickland,42,2
Corey Washington,Mabel Cooper,43,2
Bertie Barnett,Juan McKinney,12,2
Nathan Dawson,Katharine Bowen,43,3
